lag,mean_ord,mean_shf,delta
-12,0.21616358325219084,0.20480363518338202,0.011359948068808828
-11,0.20406905055487054,0.19779938587512794,0.006269664679742604
-10,0.20290714921388311,0.19635081899232842,0.00655633022155469
-9,0.19948921679909193,0.19370078740157481,0.005788429397517114
-8,0.2013039934800326,0.19477543538038497,0.006528558099647641
-7,0.20395421436004163,0.19871709207537083,0.005237122284670798
-6,0.2028913260219342,0.19923371647509577,0.003657609546838414
-5,0.20895878008101024,0.20232708468002586,0.006631695400984378
-4,0.20401715188445047,0.20092812006319116,0.0030890318212593026
-3,0.19588071229349924,0.19998179501183325,-0.004101082718334009
-2,0.18763976417971132,0.20793823948980447,-0.020298475310093156
-1,0.18583086053412462,0.20236797008879887,-0.016537109554674245
0,0.2,0.20408609996351695,-0.004086099963516943
1,0.21205487448920024,0.20198554639024746,0.010069328098952779
2,0.20105086477413706,0.20265926358854472,-0.0016083988144076633
3,0.20207329537158708,0.20315928038613426,-0.0010859850145471805
4,0.1981008035062089,0.19639850669789913,0.0017022968083097723
5,0.20014614541468762,0.1973915592028136,0.0027545862118740216
6,0.2021953896816685,0.19579086309305566,0.006404526588612847
7,0.2016406650552992,0.19023853211009173,0.011402132945207477
8,0.20090922422642615,0.18673326966869905,0.014175954557727105
9,0.19741480611045828,0.18292772590250717,0.014487080207951114
10,0.19638261892507905,0.1789682831702112,0.017414335754867838
11,0.19372883851023112,0.16651930445033894,0.027209534059892182
12,0.18538994545186496,0.16298098186643079,0.022408963585434177
13,0.1841541755888651,0.15567535632523447,0.028478819263630634
14,0.17563571850975754,0.15658099400044442,0.019054724509313115
15,0.16845612736023696,0.14706537063144617,0.02139075672879079
16,0.16274757065499593,0.1469888475836431,0.015758723071352815
17,0.15659606094388703,0.13759964240482753,0.018996418539059506
18,0.15004840271055178,0.13608539862645566,0.01396300408409612
19,0.14379572943108854,0.13236064347175458,0.011435085959333957
20,0.14015123156397394,0.1290951345678087,0.011056096996165249
21,0.13697807149294083,0.12362926243052426,0.013348809062416575
22,0.13550522910240012,0.12160940325497288,0.01389582584742724
23,0.12976235382874388,0.11497205015863424,0.014790303670109639
24,0.1284049636803874,0.11168280871670702,0.016722154963680375
