var,n,min,p05,p50,p95,max,mean,std
B_hat,1231920,0.05,0.05,0.05,0.75,0.75,0.2572299337619323,0.31955704997132806
C_hat,1231920,0.535,0.535,0.535,1.125,1.125,0.7078610218195988,0.25837124412403567
D_hat,1231920,0.855,0.8795000000000001,0.8795000000000001,1.4125,1.4125,1.033909692187805,0.22436839979056528
