lag,mean_ord,mean_shf,delta
-12,0.08725674827369742,0.08976773383553044,-0.002510985561833018
-11,0.08663224325874928,0.09647779479326186,-0.009845551534512581
-10,0.08602711157455684,0.10149892933618844,-0.015471817761631604
-9,0.08802650260293422,0.11005830903790087,-0.022031806434966647
-8,0.09257679180887372,0.11912325285895807,-0.026546461050084347
-7,0.0938822624086187,0.12372881355932204,-0.029846551150703338
-6,0.10152460152460152,0.12909783989834817,-0.027573238373746645
-5,0.10920245398773006,0.13700532284193473,-0.027802868854204674
-4,0.111863488624052,0.14267461669505963,-0.030811128071007624
-3,0.11992400854903823,0.14794303797468356,-0.028019029425645325
-2,0.12922422954303933,0.15188470066518847,-0.02266047112214914
-1,0.1371571072319202,0.15317022742935907,-0.016013120197438863
0,0.14613643711606855,0.15664403491755577,-0.010507597801487217
1,0.15195602974458455,0.16022635408245756,-0.008270324337873003
2,0.15470417070805043,0.16275683546351724,-0.008052664755466815
3,0.15812449474535165,0.16577626679617938,-0.007651772050827732
4,0.16124858482937085,0.16699092088197146,-0.005742336052600605
5,0.16469826888852937,0.16950527169505272,-0.004807002806523353
6,0.1677189574226971,0.17137293086660174,-0.00365397344390464
7,0.17174335709656513,0.1741883116883117,-0.0024449545917465676
8,0.17453365774533658,0.1758687885677168,-0.0013351308223802094
9,0.1771864351776732,0.17627944760357434,0.0009069875740988775
10,0.17905844155844156,0.17782834850455137,0.0012300930538901855
11,0.180178716490658,0.1782693558880937,0.0019093606025643028
12,0.1807973962571196,0.17949552481692432,0.0013018714401952791
13,0.18098809717919453,0.18147725419859775,-0.0004891570194032191
14,0.18058506291877757,0.18094148414514546,-0.0003564212263678923
15,0.1806873977086743,0.1794661863435402,0.0012212113651341172
16,0.17937366781439582,0.18087897671367661,-0.0015053088992807995
17,0.17847165160230075,0.17874158041728275,-0.00026992881498200116
18,0.17918313570487485,0.17912413566019098,5.900004468387121e-05
19,0.18036303630363038,0.17967332123411978,0.0006897150695105991
20,0.17854190775334766,0.17828816920026438,0.000253738553083277
21,0.17963576158940397,0.1766848816029144,0.002950879986489574
22,0.17877280265339968,0.17581688505556478,0.002955917597834895
23,0.17905236907730673,0.17711624812905372,0.0019361209482530173
24,0.17774446110278194,0.17607862735299018,0.001665833749791762
